passing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,passing_yards,passing_yards_per_game,passing_completions,passing_attempts,completion_percentage,passing_touchdowns,interceptions_thrown,passer_rating,games_played,year,category
11,Kody,Wilstead,Kody Wilstead,/ut/st-george/pine-view-panthers/athletes/kody-wilstead/football/stats/?careerid=422oflmnh2jqa,422oflmnh2jqa,"QB, QB",Pine View,UT,4395,4395,366.2,294,471,0.624,36,18,103,12,2013,passing
12,Mason,Rudolph,Mason Rudolph,/sc/rock-hill/northwestern-trojans/athletes/mason-rudolph/football/stats/?careerid=abel7kldt23j3,abel7kldt23j3,QB,Northwestern,SC,4377,4377,291.8,350,482,0.726,64,8,133,15,2013,passing
13,Brandon,Jones,Brandon Jones,/ca/bakersfield/bakersfield-christian-eagles/athletes/brandon-jones/football/stats/?careerid=80cace2ej8kbb,80cace2ej8kbb,"QB, DB",Bakersfield Christian,CA,4365,4365,291.0,252,429,0.587,54,10,123,15,2013,passing
14,Adam,Dycus,Adam Dycus,/ar/mayflower/mayflower-eagles/athletes/adam-dycus/football/stats/?careerid=okf09e83k26rb,okf09e83k26rb,QB,Mayflower,AR,4364,4364,396.7,275,435,0.632,51,14,122,11,2013,passing
15,Caden,Voges,Caden Voges,/ca/sacramento/sacramento-dragons/athletes/caden-voges/football/stats/?careerid=cvtf0v61dtnqa,cvtf0v61dtnqa,QB,Sacramento,CA,4351,4351,310.8,266,421,0.632,48,24,112,14,2013,passing
16,Tyler,Allen,Tyler Allen,/ms/bay-st-louis/st-stanislaus-rock-a-chaws/athletes/tyler-allen/football/stats/?careerid=3t3teocsdfm66,3t3teocsdfm66,QB,St. Stanislaus,MS,4263,4263,327.9,269,431,0.624,49,12,122,13,2013,passing
17,Devyn,Wood,Devyn Wood,/oh/mt-orab/western-brown-broncos/athletes/devyn-wood/football/stats/?careerid=rrqt288tevmbb,rrqt288tevmbb,QB,Western Brown,OH,4260,4260,387.3,302,439,0.688,40,9,122,11,2013,passing
18,Ty,Storey,Ty Storey,/ar/charleston/charleston-tigers/athletes/ty-storey/football/stats/?careerid=m0d0dlphr62j3,m0d0dlphr62j3,QB,Charleston,AR,4241,4241,282.7,268,408,0.657,52,11,128,15,2013,passing
19,Tyler,Hutchinson,Tyler Hutchinson,/il/greenville/greenville-comets/athletes/tyler-hutchinson/football/stats/?careerid=u19tjp02l6pj3,u19tjp02l6pj3,,Greenville,IL,4216,4216,324.3,254,473,0.537,43,15,101,13,2013,passing
20,Luke,Rubenzer,Luke Rubenzer,/az/scottsdale/saguaro-sabercats/athletes/luke-rubenzer/football/stats/?careerid=625of4qjegbo8,625of4qjegbo8,"QB, DB",Saguaro,AZ,4201,4201,300.1,227,308,0.737,61,3,151,14,2013,passing
21,Brett,Rypien,Brett Rypien,/wa/spokane/shadle-park-highlanders/athletes/brett-rypien/football/stats/?careerid=4llvu1fqg3d00,4llvu1fqg3d00,QB,Shadle Park,WA,4191,4191,322.4,326,498,0.655,56,10,121,13,2013,passing
22,Cris,Solano,Cris Solano,/ca/san-fernando/san-fernando-tigers/athletes/cris-solano/football/stats/?careerid=hr4qe9o8pg0o8,hr4qe9o8pg0o8,"QB, DB",San Fernando,CA,4162,4162,297.3,211,301,0.701,43,5,145,14,2013,passing
23,Will,Hefley,Will Hefley,/ar/little-rock/pulaski-academy-bruins/athletes/will-hefley/football/stats/?careerid=omgkef0kurl88,omgkef0kurl88,,Pulaski Academy,AR,4152,4152,377.5,264,400,0.66,54,14,125,11,2013,passing
24,Dallas,Cook,Dallas Cook,/mt/butte/butte-bulldogs/athletes/dallas-cook/football/stats/?careerid=vj41uiqhquh33,vj41uiqhquh33,QB,Butte,MT,4145,4145,376.8,296,460,0.643,40,13,110,11,2013,passing
25,Regan,Edwards,Regan Edwards,/la/minden/glenbrook-apaches/athletes/regan-edwards/football/stats/?careerid=sn6jmvk0m7kp9,sn6jmvk0m7kp9,QB,Glenbrook,LA,4141,4141,318.5,253,377,0.671,49,21,120,13,2013,passing
26,Drew,Anderson,Drew Anderson,/ca/orinda/miramonte-matadors/athletes/drew-anderson/football/stats/?careerid=7qsnlj9akba77,7qsnlj9akba77,QB,Miramonte,CA,4074,4074,291.0,256,435,0.589,47,10,117,14,2013,passing
27,Tyler,Sorensen,Tyler Sorensen,/nm/farmington/navajo-prep-eagles/athletes/tyler-sorensen/football/stats/?careerid=uo52vf5utkjrb,uo52vf5utkjrb,"QB, DB",Navajo Prep,NM,4064,4064,338.7,226,339,0.667,51,17,126,12,2013,passing
28,Mason,Mcclendon,Mason Mcclendon,/tx/midland/midland-christian-mustangs/athletes/mason-mcclendon/football/stats/?careerid=ovnvhiu4ss211,ovnvhiu4ss211,QB,Midland Christian,TX,4053,4053,289.5,233,339,0.687,59,6,141,14,2013,passing
29,Kirk,Mccarty,Kirk Mccarty,/ms/hattiesburg/oak-grove-warriors/athletes/kirk-mccarty/football/stats/?careerid=7rnrea765gebb,7rnrea765gebb,QB,Oak Grove,MS,4043,4043,269.5,269,439,0.613,44,8,117,15,2013,passing
30,Blake,Bogenschutz,Blake Bogenschutz,/tx/carthage/carthage-bulldogs/athletes/blake-bogenschutz/football/stats/?careerid=n66mvr5md2ip9,n66mvr5md2ip9,QB,Carthage,TX,4003,4003,250.2,231,393,0.588,57,0,133,16,2013,passing
31,TUCKER,ISRAEL,TUCKER ISRAEL,/fl/orlando/lake-nona-lions/athletes/tucker-israel/football/stats/?careerid=jcl44fdddc8l5,jcl44fdddc8l5,QB,Lake Nona,FL,3979,3979,361.7,254,385,0.66,40,10,124,11,2013,passing
32,Tyler,Newman,Tyler Newman,/nv/henderson/liberty-patriots/athletes/tyler-newman/football/stats/?careerid=l4ne7o0ld3788,l4ne7o0ld3788,QB,Liberty,NV,3979,3979,284.2,226,366,0.617,42,14,121,14,2013,passing
33,Kendall,Hinton,Kendall Hinton,/nc/durham/southern-school-of-energy-and-sustainability-spartans/athletes/kendall-hinton/football/stats/?careerid=4ntnqoi4569p9,4ntnqoi4569p9,QB,Southern School of Energy and Sustainability,NC,3972,3972,248.2,219,339,0.646,39,5,137,16,2013,passing
34,Matt,Ferris,Matt Ferris,/wi/appleton/xavier-hawks/athletes/matt-ferris/football/stats/?careerid=8s87ejcguhgrb,8s87ejcguhgrb,QB,Xavier,WI,3952,3952,304.0,260,420,0.619,50,10,123,13,2013,passing
35,Braxton,Berry,Braxton Berry,/tx/garland/garland-christian-academy-swords/athletes/braxton-berry/football/stats/?careerid=98vndsnbfio77,98vndsnbfio77,QB,Garland Christian Academy,TX,3913,3913,391.3,202,389,0.519,45,27,97,10,2013,passing
36,Robert,Webber,Robert Webber,/ca/corona/centennial-huskies/athletes/robert-webber/football/stats/?careerid=6p5bqlnfj0288,6p5bqlnfj0288,QB,Centennial,CA,3891,3891,259.4,217,363,0.598,34,10,116,15,2013,passing
37,Anders,Hill,Anders Hill,/co/boulder/fairview-knights/athletes/anders-hill/football/stats/?careerid=nbp38caiqqqee,nbp38caiqqqee,QB,Fairview,CO,3878,3878,298.3,283,426,0.664,36,10,114,13,2013,passing
38,Jake,Wallace,Jake Wallace,/ca/valencia/valencia-vikings/athletes/jake-wallace/football/stats/?careerid=f4dhvfni6br44,f4dhvfni6br44,QB,Valencia,CA,3868,3868,276.3,260,399,0.652,33,13,111,14,2013,passing
39,Brad,Kaaya,Brad Kaaya,/ca/west-hills/chaminade-eagles/athletes/brad-kaaya/football/stats/?careerid=fe4ihdvva8144,fe4ihdvva8144,QB,Chaminade,CA,3855,3855,240.9,224,361,0.62,27,6,116,16,2013,passing
40,Ben,Davis,Ben Davis,/tx/graham/graham-steers/athletes/ben-davis/football/stats/?careerid=7ojeaoicp5hue,7ojeaoicp5hue,"QB, FS",Graham,TX,3837,3837,255.8,247,369,0.669,41,12,125,15,2013,passing
41,Ben,Arbuckle,Ben Arbuckle,/tx/canadian/canadian-wildcats/athletes/ben-arbuckle/football/stats/?careerid=h7bkv817ikgp9,h7bkv817ikgp9,QB,Canadian,TX,3830,3830,294.6,285,389,0.733,49,6,137,13,2013,passing
42,Taylor,Cornelius,Taylor Cornelius,/tx/bushland/bushland-falcons/athletes/taylor-cornelius/football/stats/?careerid=3q51ahhdsu477,3q51ahhdsu477,QB,Bushland,TX,3815,3815,317.9,283,437,0.648,46,11,117,12,2013,passing
43,Blake,Larussa,Blake Larussa,/va/virginia-beach/catholic-crusaders/athletes/blake-larussa/football/stats/?careerid=cli567lju5288,cli567lju5288,QB,Catholic,VA,3794,3794,316.2,188,328,0.573,52,9,126,12,2013,passing
44,Manny,Harris,Manny Harris,/tx/copperas-cove/copperas-cove-bulldawgs/athletes/manny-harris/football/stats/?careerid=lsltef5k8s3ff,lsltef5k8s3ff,QB,Copperas Cove,TX,3775,3775,343.2,280,457,0.613,38,0,115,11,2013,passing
45,Deshaun,Watson,Deshaun Watson,/ga/gainesville/gainesville-red-elephants/athletes/deshaun-watson/football/stats/?careerid=cjlpv4scpmu00,cjlpv4scpmu00,QB,Gainesville,GA,3775,3775,269.6,273,412,0.663,47,8,125,14,2013,passing
