tackles_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,total_tackles,tackles_per_game,solo_tackles,assisted_tackles,tackles_for_loss,sacks,games_played,year,category
67,Chase,Hulbert,Chase Hulbert,/az/peoria/liberty-lions/athletes/chase-hulbert/football/stats/?careerid=uege228jj1g22,uege228jj1g22,"LB, RB",Liberty,AZ,178,178,16.2,47,131,4.5,2.0,11,2015,tackles
68,Tim,Steward,Tim Steward,/ms/hazlehurst/hazlehurst-indians/athletes/tim-steward/football/stats/?careerid=54u3i10jnulh1,54u3i10jnulh1,MLB,Hazlehurst,MS,178,178,14.8,151,27,0.0,10.0,12,2015,tackles
69,Kyle,Scheffe,Kyle Scheffe,/tx/windthorst/windthorst-trojans/athletes/kyle-scheffe/football/stats/?careerid=vlovrk6b1qm77,vlovrk6b1qm77,"QB, OLB",Windthorst,TX,176,176,14.7,105,71,14.0,3.0,12,2015,tackles
70,Matt,Shotwell,Matt Shotwell,/ca/santa-barbara/bishop-diego-cardinals/athletes/matt-shotwell/football/stats/?careerid=665j0f9mlic44,665j0f9mlic44,"OLB, FB",Bishop Diego,CA,176,176,13.5,124,52,15.0,2.0,13,2015,tackles
71,Travelle,Ware,Travelle Ware,/ms/shaw/shaw-warriors/athletes/travelle-ware/football/stats/?careerid=t2s9i0i6p49o8,t2s9i0i6p49o8,"QB, LB",Shaw,MS,176,176,13.5,79,85,9.0,1.0,13,2015,tackles
72,Chaz,Westfall,Chaz Westfall,/oh/perrysburg/perrysburg-yellow-jackets/athletes/chaz-westfall/football/stats/?careerid=88vhv2vnbi5p9,88vhv2vnbi5p9,"OL, LB",Perrysburg,OH,176,176,12.6,176,0,29.0,5.0,14,2015,tackles
73,Kaipo,Barnes,Kaipo Barnes,/ca/hanford/hanford-bullpups/athletes/kaipo-barnes/football/stats/?careerid=jh7qrbqoe83vf,jh7qrbqoe83vf,"FB, LB",Hanford,CA,176,176,11.7,117,59,11.0,9.0,15,2015,tackles
74,Jon-michael,Terry,Jon-michael Terry,/ok/tulsa/victory-christian-conquerors/athletes/jon-michael-terry/football/stats/?careerid=arfrmkltrt3k4,arfrmkltrt3k4,"DE, TE",Victory Christian,OK,175,175,14.6,116,59,7.0,4.0,12,2015,tackles
75,David,Mikos,David Mikos,/ct/north-haven/north-haven-nighthawks/athletes/david-mikos/football/stats/?careerid=jqs5qrflv31sc,jqs5qrflv31sc,"MLB, FB",North Haven,CT,175,175,13.5,74,101,5.0,1.0,13,2015,tackles
76,Damon,Lloyd,Damon Lloyd,/md/bel-air/john-carroll-patriots/athletes/damon-lloyd/football/stats/?careerid=s3ii4t43rqndd,s3ii4t43rqndd,"MLB, OL",John Carroll,MD,174,174,14.5,108,66,0.0,0.0,12,2015,tackles
77,Anu,Tuiono,Anu Tuiono,/ca/san-jose/oak-grove-eagles/athletes/anu-tuiono/football/stats/?careerid=4fjrm5bssu444,4fjrm5bssu444,"SS, RB",Oak Grove,CA,174,174,12.4,65,109,18.0,6.0,14,2015,tackles
78,Trayquan,Price,Trayquan Price,/nc/monroe/monroe-redhawks/athletes/trayquan-price/football/stats/?careerid=c4p39nvp8uk55,c4p39nvp8uk55,"OLB, OG",Monroe,NC,174,174,10.9,92,82,28.0,4.0,16,2015,tackles
79,Jordan,Lopez,Jordan Lopez,/ca/taft/taft-wildcats/athletes/jordan-lopez/football/stats/?careerid=drpgn19cftil5,drpgn19cftil5,"LB, TE",Taft,CA,173,173,17.3,45,128,6.0,3.0,10,2015,tackles
80,Michael,O'callaghan,Michael O'callaghan,/mn/springfield/springfield-tigers/athletes/michael-ocallaghan/football/stats/?careerid=o5pb7gulje788,o5pb7gulje788,"RB, OLB",Springfield,MN,173,173,17.3,56,117,11.0,0.0,10,2015,tackles
81,Tanner,Collins,Tanner Collins,/wi/potosi/potosi-chieftains/athletes/tanner-collins/football/stats/?careerid=piub1b1kmj7dd,piub1b1kmj7dd,"DT, OLB",Potosi,WI,173,173,15.7,42,131,4.0,0.0,11,2015,tackles
82,Mason,J. montoya,Mason J. montoya,/tx/lubbock/coronado-mustangs/athletes/mason-j-montoya/football/stats/?careerid=fa7tb1gbhkcbb,fa7tb1gbhkcbb,"MLB, DE",Coronado,TX,172,172,17.2,46,126,5.0,2.0,10,2015,tackles
83,Grant,Bruner,Grant Bruner,/ne/gretna/gretna-dragons/athletes/grant-bruner/football/stats/?careerid=1vrejurgk4em6,1vrejurgk4em6,"RB, MLB",Gretna,NE,172,172,15.6,59,113,4.0,0.0,11,2015,tackles
84,Garrett,Thomas,Garrett Thomas,/az/casa-grande/casa-grande-cougars/athletes/garrett-thomas/football/stats/?careerid=bk2mr6cvi9laa,bk2mr6cvi9laa,"FB, MLB",Casa Grande,AZ,172,172,15.6,60,68,0.0,0.0,11,2015,tackles
85,Charles,Cameron,Charles Cameron,/ms/morton/morton-panthers/athletes/charles-cameron/football/stats/?careerid=869fimfar71ee,869fimfar71ee,DL,Morton,MS,172,172,15.6,91,81,15.0,10.5,11,2015,tackles
86,Sam,Schuler,Sam Schuler,/wa/enumclaw/enumclaw-hornets/athletes/sam-schuler/football/stats/?careerid=4n06dfose5744,4n06dfose5744,"RB, MLB",Enumclaw,WA,171,171,17.1,114,57,12.0,4.0,10,2015,tackles
87,Johnathan,Phillips,Johnathan Phillips,/ca/stockton/stagg-delta-kings/athletes/johnathan-phillips/football/stats/?careerid=jo59ps225bk66,jo59ps225bk66,LB,Stagg,CA,171,171,15.5,42,129,0.0,0.0,11,2015,tackles
88,Case,Hatch,Case Hatch,/az/gilbert/perry-pumas/athletes/case-hatch/football/stats/?careerid=3c7gmsq0867n7,3c7gmsq0867n7,MLB,Perry,AZ,171,171,15.5,107,64,19.5,7.0,11,2015,tackles
89,Dylan,Chism,Dylan Chism,/il/carlinville/carlinville-cavaliers/athletes/dylan-chism/football/stats/?careerid=k3a9khtem1u77,k3a9khtem1u77,"RB, LB",Carlinville,IL,171,171,15.5,68,103,12.0,0.0,11,2015,tackles
90,Tanner,Bullock,Tanner Bullock,/ms/houston/houston-hilltoppers/athletes/tanner-bullock/football/stats/?careerid=pdhsfuit3o2aa,pdhsfuit3o2aa,"FB, LB",Houston,MS,171,171,12.2,81,90,19.0,0.0,14,2015,tackles
91,Jacob,Hernandez,Jacob Hernandez,/az/tempe/marcos-de-niza-padres/athletes/jacob-hernandez/football/stats/?careerid=f1r7uf0p16pn7,f1r7uf0p16pn7,"FB, LB",Marcos de Niza,AZ,171,171,11.4,121,50,12.0,3.0,15,2015,tackles
92,Roger,Neal,Roger Neal,/ca/folsom/folsom-bulldogs/athletes/roger-neal/football/stats/?careerid=2ve44crt63244,2ve44crt63244,"RB, LB",Folsom,CA,171,171,11.4,96,75,0.0,0.5,15,2015,tackles
93,Blake,Ireland,Blake Ireland,/ct/waterbury/crosby-bulldogs/athletes/blake-ireland/football/stats/?careerid=e5nta8ojmi4k4,e5nta8ojmi4k4,"MLB, G",Crosby,CT,170,170,17.0,49,121,0.0,2.0,10,2015,tackles
94,Brody,Howard,Brody Howard,/il/carrollton/carrollton-hawks/athletes/brody-howard/football/stats/?careerid=q35tsmlh6iibb,q35tsmlh6iibb,OLB,Carrollton,IL,170,170,14.2,59,111,12.0,0.0,12,2015,tackles
95,Adrian,Palmer,Adrian Palmer,/mo/lebanon/lebanon-yellowjackets/athletes/adrian-palmer/football/stats/?careerid=dhumq5794k2aa,dhumq5794k2aa,MLB,Lebanon,MO,170,170,14.2,111,59,5.0,2.0,12,2015,tackles
96,Jacob,Lee,Jacob Lee,/az/mohave-valley/river-valley-dust-devils/athletes/jacob-lee/football/stats/?careerid=jluh01fr7bq55,jluh01fr7bq55,"MLB, FB",River Valley,AZ,170,170,14.2,49,121,17.0,7.0,12,2015,tackles
97,Shannon,"""comeback kid"" spralls","Shannon ""comeback kid"" spralls",/tn/chattanooga/tyner-academy-rams/athletes/shannon-comeback-kid-spralls/football/stats/?careerid=carrq6o55g8cc,carrq6o55g8cc,"RB, MLB",Tyner Academy,TN,170,170,13.1,98,88,28.0,10.0,13,2015,tackles
98,Brett,Gerber,Brett Gerber,/fl/bradenton/bradenton-christian-panthers/athletes/brett-gerber/football/stats/?careerid=bfucnt694d8n7,bfucnt694d8n7,"WR, LB",Bradenton Christian,FL,169,169,18.8,86,83,3.0,4.0,9,2015,tackles
99,Mason,Mckinney,Mason Mckinney,/ca/garden-valley/golden-sierra-grizzlies/athletes/mason-mckinney/football/stats/?careerid=l3i4729nauarb,l3i4729nauarb,"OL, LB",Golden Sierra,CA,169,169,15.4,69,100,6.0,1.0,11,2015,tackles
100,Collier,Wolcott,Collier Wolcott,/tn/dickson/dickson-county-cougars/athletes/collier-wolcott/football/stats/?careerid=1ka66vre2gtff,1ka66vre2gtff,"RB, LB",Dickson County,TN,169,169,15.4,149,20,5.0,6.0,11,2015,tackles
101,Bryson,Strong,Bryson Strong,/il/belleville/althoff-catholic-crusaders/athletes/bryson-strong/football/stats/?careerid=389stijk6d4cc,389stijk6d4cc,"MLB, RB",Althoff Catholic,IL,169,169,12.1,109,60,0.0,9.0,14,2015,tackles
102,Raheem,Nixon,Raheem Nixon,/nc/plymouth/plymouth-vikings/athletes/raheem-nixon/football/stats/?careerid=dmtstkojqc2bb,dmtstkojqc2bb,"LB, FB",Plymouth,NC,169,169,10.6,100,69,0.0,4.0,16,2015,tackles
103,Dustin,Mathews,Dustin Mathews,/ut/bountiful/viewmont-vikings/athletes/dustin-mathews/football/stats/?careerid=27oun2c1tprj3,27oun2c1tprj3,"RB, LB",Viewmont,UT,168,168,16.8,62,105,11.0,1.0,10,2015,tackles
104,Travis,Wilson,Travis Wilson,/ca/fresno/sunnyside-wildcats/athletes/travis-wilson/football/stats/?careerid=vv4ols3uu8t55,vv4ols3uu8t55,"ATH, DB",Sunnyside,CA,168,168,15.3,76,92,14.0,3.0,11,2015,tackles
105,Alex,Hix,Alex Hix,/ok/locust-grove/locust-grove-pirates/athletes/alex-hix/football/stats/?careerid=g4c4o18bo2fk4,g4c4o18bo2fk4,"MLB, OLB",Locust Grove,OK,168,168,15.3,101,67,12.0,5.0,11,2015,tackles
