rushing_yards_national_rank,first_name,last_name,full_name,career_link,career_id,position_category,school_name,school_state,stat_value,rushing_yards,rushing_yards_per_game,rushing_yards_per_attempt,rushing_attempts,longest_rush,rushing_touchdowns,fumbles,games_played,year,category
11,Jacob,Warbritton,Jacob Warbritton,/tn/huntingdon/huntingdon-mustangs/athletes/jacob-warbritton/football/stats/?careerid=938tqj0f1bml5,938tqj0f1bml5,"DB, QB",Huntingdon,TN,3083,3083,205.5,7.71,400,80,43,7,15,2012,rushing
12,Joe,Protheroe,Joe Protheroe,/ca/concord/clayton-valley-charter-ugly-eagles/athletes/joe-protheroe/football/stats/?careerid=db17gp69d3bl5,db17gp69d3bl5,"RB, DB",Clayton Valley Charter,CA,3014,3014,215.3,12.88,234,95,34,0,14,2012,rushing
13,Ryan,Moeller,Ryan Moeller,/co/rifle/rifle-bears/athletes/ryan-moeller/football/stats/?careerid=3j4k75tpimtrb,3j4k75tpimtrb,"RB, DB",Rifle,CO,3002,3002,214.4,11.04,272,94,43,1,14,2012,rushing
14,Tyler,Rouse,Tyler Rouse,/ny/baldwinsville/baldwinsville-bees/athletes/tyler-rouse/football/stats/?careerid=of6j8iqa7i544,of6j8iqa7i544,"RB, OLB",Baldwinsville,NY,2977,2977,297.7,8.94,333,75,45,0,10,2012,rushing
15,Justin,Ewing,Justin Ewing,/ca/san-bruno/capuchino-mustangs/athletes/justin-ewing/football/stats/?careerid=nei7toabv5ip9,nei7toabv5ip9,"RB, LB",Capuchino,CA,2956,2956,268.7,7.46,396,82,33,2,11,2012,rushing
16,Ben,Tobin,Ben Tobin,/oh/lancaster/fairfield-christian-academy-knights/athletes/ben-tobin/football/stats/?careerid=u423o6dmsvb11,u423o6dmsvb11,"RB, LB",Fairfield Christian Academy,OH,2942,2942,267.5,8.58,343,76,31,3,11,2012,rushing
17,Russell,Washington,Russell Washington,/nc/harrells/harrells-christian-academy-crusaders/athletes/russell-washington/football/stats/?careerid=8ajpil6ordj00,8ajpil6ordj00,"RB, LB",Harrells Christian Academy,NC,2905,2905,264.1,12.47,233,80,45,0,11,2012,rushing
18,Jake,Lacoste,Jake Lacoste,/or/albany/west-albany-bulldogs/athletes/jake-lacoste/football/stats/?careerid=7jjbe8v1gf8n7,7jjbe8v1gf8n7,"RB, DB",West Albany,OR,2876,2876,261.5,9.22,312,75,38,0,11,2012,rushing
19,Alex,Cooley,Alex Cooley,/pa/wrightsville/eastern-york-golden-knights/athletes/alex-cooley/football/stats/?careerid=hkhlo62vn66g0,hkhlo62vn66g0,"RB, LB",Eastern York,PA,2845,2845,284.5,11.03,258,99,32,0,10,2012,rushing
20,Matt,Guida,Matt Guida,/az/queen-creek/queen-creek-bulldogs/athletes/matt-guida/football/stats/?careerid=8jnrposauu3p9,8jnrposauu3p9,"RB, DB",Queen Creek,AZ,2829,2829,202.1,13.87,204,95,31,2,14,2012,rushing
21,David,Burgess,David Burgess,/nc/morganton/freedom-patriots/athletes/david-burgess/football/stats/?careerid=uh6tqtr6lknp9,uh6tqtr6lknp9,"RB, DB",Freedom,NC,2826,2826,188.4,8.31,340,87,29,0,15,2012,rushing
22,Luis,Lopez,Luis Lopez,/tx/san-diego/san-diego-vaqueros/athletes/luis-lopez/football/stats/?careerid=un1klu7avmiqa,un1klu7avmiqa,"FB, LB",San Diego,TX,2792,2792,253.8,12.3,227,81,41,7,11,2012,rushing
23,Reynaldo,Atencio,Reynaldo Atencio,/nm/tierra-amarilla/escalante-lobos/athletes/reynaldo-atencio/football/stats/?careerid=ogtm1l988oom6,ogtm1l988oom6,"DE, QB",Escalante,NM,2778,2778,213.7,9.65,288,97,46,0,13,2012,rushing
24,Tanner,Wood,Tanner Wood,/ks/conway-springs/conway-springs-cardinals/athletes/tanner-wood/football/stats/?careerid=lhk0h7bs55gbb,lhk0h7bs55gbb,LB,Conway Springs,KS,2709,2709,246.3,10.58,256,86,39,0,11,2012,rushing
25,Darrell,Robinson,Darrell Robinson,/ms/macon/noxubee-county-tigers/athletes/darrell-robinson/football/stats/?careerid=et37jpl42gesc,et37jpl42gesc,RB,Noxubee County,MS,2686,2686,179.1,8.14,330,93,47,7,15,2012,rushing
26,Ken,Mcdowell,Ken Mcdowell,/nc/hope-mills/grays-creek-bears/athletes/ken-mcdowell/football/stats/?careerid=bvgoupuvacko8,bvgoupuvacko8,RB,Gray's Creek,NC,2684,2684,223.7,11.62,231,0,38,0,12,2012,rushing
27,Jordan,Fraga,Jordan Fraga,/tx/devine/devine-warhorses-arabians/athletes/jordan-fraga/football/stats/?careerid=p2011hed4lj33,p2011hed4lj33,RB,Devine,TX,2674,2674,243.1,8.15,328,91,33,0,11,2012,rushing
28,James,Toland,James Toland,/ca/indio/shadow-hills-knights/athletes/james-toland/football/stats/?careerid=nc718b95pgqh1,nc718b95pgqh1,"TB, FS",Shadow Hills,CA,2649,2649,240.8,8.41,315,90,39,1,11,2012,rushing
29,Cornelius,Elder,Cornelius Elder,/tn/nashville/ensworth-tigers/athletes/cornelius-elder/football/stats/?careerid=sassm0dhk65bb,sassm0dhk65bb,"RB, ATH",Ensworth,TN,2617,2617,201.3,9.15,286,96,39,5,13,2012,rushing
30,Justin,Jackson,Justin Jackson,/il/carol-stream/glenbard-north-panthers/athletes/justin-jackson/football/stats/?careerid=5u5evn7f3ebvf,5u5evn7f3ebvf,DB,Glenbard North,IL,2612,2612,186.6,6.2,421,0,0,0,14,2012,rushing
31,Daniel,Harper,Daniel Harper,/or/scio/scio-loggers/athletes/daniel-harper/football/stats/?careerid=mvjrqid43n266,mvjrqid43n266,"RB, LB",Scio,OR,2588,2588,199.1,9.92,261,90,26,0,13,2012,rushing
32,Kody,Hazlett,Kody Hazlett,/az/yuma/yuma-catholic-shamrocks/athletes/kody-hazlett/football/stats/?careerid=q9ieqr2mmcim6,q9ieqr2mmcim6,"RB, LB",Yuma Catholic,AZ,2577,2577,198.2,9.4,274,0,33,0,13,2012,rushing
33,Keymonne,Gabriel,Keymonne Gabriel,/mi/detroit/loyola-bull-dogs/athletes/keymonne-gabriel/football/stats/?careerid=vjku1mj2fvuvf,vjku1mj2fvuvf,"DE, RB",Loyola,MI,2550,2550,182.1,10.58,241,93,36,8,14,2012,rushing
34,Aaron,Dillard,Aaron Dillard,/al/fayette/hubbertville-lions/athletes/aaron-dillard/football/stats/?careerid=p6mgbbhgd0em6,p6mgbbhgd0em6,"TB, ILB",Hubbertville,AL,2526,2526,194.3,8.62,293,0,34,0,13,2012,rushing
35,Edgar,Segura,Edgar Segura,/ca/mendota/mendota-aztecs/athletes/edgar-segura/football/stats/?careerid=47bh8p2i4mr00,47bh8p2i4mr00,RB,Mendota,CA,2507,2507,208.9,9.53,263,0,0,0,12,2012,rushing
36,Roman,Clay,Roman Clay,/pa/lancaster/lancaster-catholic-crusaders/athletes/roman-clay/football/stats/?careerid=ksn7n0bvcoabb,ksn7n0bvcoabb,"RB, LB",Lancaster Catholic,PA,2497,2497,192.1,8.95,279,83,30,0,13,2012,rushing
37,Derrick,Hughes,Derrick Hughes,/mo/hamilton/penney-hornets/athletes/derrick-hughes/football/stats/?careerid=719677ad4sr00,719677ad4sr00,RB,Penney,MO,2489,2489,165.9,8.27,301,85,40,3,15,2012,rushing
38,Denzel,Norvell,Denzel Norvell,/oh/dayton/thurgood-marshall-cougars/athletes/denzel-norvell/football/stats/?careerid=5mbc90533mibb,5mbc90533mibb,"WB, DB",Thurgood Marshall,OH,2488,2488,191.4,10.2,244,98,44,0,13,2012,rushing
39,Royce,Freeman,Royce Freeman,/ca/imperial/imperial-tigers/athletes/royce-freeman/football/stats/?careerid=1h1aughsb1p88,1h1aughsb1p88,"FB, S",Imperial,CA,2482,2482,206.8,12.35,201,94,34,4,12,2012,rushing
40,Terry,Gilbreath,Terry Gilbreath,/tx/wellington/wellington-skyrockets/athletes/terry-gilbreath/football/stats/?careerid=kfcgsr03vj7dd,kfcgsr03vj7dd,"RB, DB",Wellington,TX,2470,2470,176.4,12.48,198,89,34,3,14,2012,rushing
41,Tj,Knutson,Tj Knutson,/il/stockton/stockton-blackhawks/athletes/tj-knutson/football/stats/?careerid=6tsl776ldg0o8,6tsl776ldg0o8,"RB, DL",Stockton,IL,2467,2467,176.2,10.07,245,78,38,2,14,2012,rushing
42,Sammy,Mireles,Sammy Mireles,/in/elwood/elwood-panthers/athletes/sammy-mireles/football/stats/?careerid=u586los5omp77,u586los5omp77,RB,Elwood,IN,2460,2460,223.6,7.57,325,0,23,0,11,2012,rushing
43,Kamal,Cass,Kamal Cass,/nm/clovis/clovis-wildcats/athletes/kamal-cass/football/stats/?careerid=bblaa2k1ek6ee,bblaa2k1ek6ee,"RB, S",Clovis,NM,2457,2457,223.4,8.36,294,91,35,4,11,2012,rushing
44,Devin,Taylor,Devin Taylor,/ky/nicholasville/west-jessamine-colts/athletes/devin-taylor/football/stats/?careerid=75km6if305caa,75km6if305caa,"QB, LB",West Jessamine,KY,2442,2442,222.0,7.1,344,0,22,0,11,2012,rushing
45,Blake,Smittle,Blake Smittle,/ok/heavener/heavener-wolves/athletes/blake-smittle/football/stats/?careerid=kmb9qmb2ioktd,kmb9qmb2ioktd,"RB, LB",Heavener,OK,2432,2432,243.2,8.24,295,81,22,7,10,2012,rushing
46,Malik,Moseley,Malik Moseley,/nc/greensboro/southern-guilford-storm/athletes/malik-moseley/football/stats/?careerid=0jhbo1qrq2b44,0jhbo1qrq2b44,"RB, LB",Southern Guilford,NC,2426,2426,186.6,8.42,288,0,36,0,13,2012,rushing
47,George,Payne,George Payne,/al/mobile/st-lukes-episcopal-wildcats/athletes/george-payne/football/stats/?careerid=b46lh8kg6ri88,b46lh8kg6ri88,RB,St. Luke's Episcopal,AL,2425,2425,202.1,14.1,172,90,34,1,12,2012,rushing
48,Kelvin,Taylor,Kelvin Taylor,/fl/belle-glade/glades-day-gators/athletes/kelvin-taylor/football/stats/?careerid=q1h7bg5qih599,q1h7bg5qih599,RB,Glades Day,FL,2423,2423,220.3,10.22,237,0,41,0,11,2012,rushing
49,Alfred,Erives,Alfred Erives,/az/phoenix/arizona-lutheran-academy-coyotes/athletes/alfred-erives/football/stats/?careerid=u2mi4udv4n0rb,u2mi4udv4n0rb,"RB, DB",Arizona Lutheran Academy,AZ,2418,2418,201.5,8.57,282,80,26,0,12,2012,rushing
50,Mike,Class,Mike Class,/pa/perkasie/pennridge-rams/athletes/mike-class/football/stats/?careerid=tteor0r1vukj3,tteor0r1vukj3,"RB, CB",Pennridge,PA,2417,2417,185.9,8.25,293,0,32,1,13,2012,rushing
51,Jacob,Parker,Jacob Parker,/wv/meadow-bridge/meadow-bridge-wildcats/athletes/jacob-parker/football/stats/?careerid=ig6nroaafv8n7,ig6nroaafv8n7,"RB, S",Meadow Bridge,WV,2415,2415,219.5,6.78,356,79,29,5,11,2012,rushing
52,Daryl,Rollins-davis,Daryl Rollins-davis,/tn/knoxville/fulton-falcons/athletes/daryl-rollins-davis/football/stats/?careerid=mrdolgio4be55,mrdolgio4be55,"RB, CB",Fulton,TN,2402,2402,160.1,11.17,215,96,31,2,15,2012,rushing
53,Austin,Ekeler,Austin Ekeler,/co/eaton/eaton-fightin-reds/athletes/austin-ekeler/football/stats/?careerid=idfpo5ogdr0k4,idfpo5ogdr0k4,"HB, DB",Eaton,CO,2398,2398,218.0,10.16,236,68,39,0,11,2012,rushing
54,Derrick,Villard,Derrick Villard,/ct/cromwell/cromwell-panthers/athletes/derrick-villard/football/stats/?careerid=pobfj95knoabb,pobfj95knoabb,"RB, OLB",Cromwell,CT,2393,2393,239.3,10.93,219,74,19,2,10,2012,rushing
55,Ralph,Kinne,Ralph Kinne,/wa/shelton/shelton-highclimbers/athletes/ralph-kinne/football/stats/?careerid=qveg6anld0hee,qveg6anld0hee,"RB, SS",Shelton,WA,2389,2389,238.9,9.37,255,88,29,0,10,2012,rushing
56,Logan,Bryan,Logan Bryan,/mo/urbana/skyline-tigers/athletes/logan-bryan/football/stats/?careerid=d6q84ap2fpq55,d6q84ap2fpq55,"WR, DB",Skyline,MO,2380,2380,183.1,9.33,255,67,39,0,13,2012,rushing
57,Ovie,Urevbu,Ovie Urevbu,/tx/frisco/legacy-christian-academy-eagles/athletes/ovie-urevbu/football/stats/?careerid=ms0ohkepi7g00,ms0ohkepi7g00,"RB, DB",Legacy Christian Academy,TX,2375,2375,169.6,8.51,279,84,32,5,14,2012,rushing
58,Jordan,Wood,Jordan Wood,/tx/friendswood/friendswood-mustangs/athletes/jordan-wood/football/stats/?careerid=167co5e7c5qcc,167co5e7c5qcc,"QB, P",Friendswood,TX,2368,2368,215.3,10.48,226,74,40,0,11,2012,rushing
59,Kartez,Carr,Kartez Carr,/al/odenville/st-clair-county-fighting-saints/athletes/kartez-carr/football/stats/?careerid=il272jr3bkbn7,il272jr3bkbn7,"TB, DB",St. Clair County,AL,2368,2368,215.3,9.07,261,95,25,3,11,2012,rushing
60,Justin,Huff,Justin Huff,/ca/downey/downey-vikings/athletes/justin-huff/football/stats/?careerid=77g3qd77fibi2,77g3qd77fibi2,RB,Downey,CA,2364,2364,181.8,9.85,240,0,24,0,13,2012,rushing
61,Zach,Welch,Zach Welch,/md/middletown/middletown-knights/athletes/zach-welch/football/stats/?careerid=0lpi4dv2pnm33,0lpi4dv2pnm33,"K, RB",Middletown,MD,2359,2359,181.5,9.11,259,83,30,0,13,2012,rushing
62,Mark,Dogbah,Mark Dogbah,/az/phoenix/greenway-demons/athletes/mark-dogbah/football/stats/?careerid=3djscjbrqac99,3djscjbrqac99,"RB, DB",Greenway,AZ,2342,2342,234.2,12.26,191,95,28,4,10,2012,rushing
63,William,Solomon,William Solomon,/ny/new-york/xavier-knights/athletes/william-solomon/football/stats/?careerid=pb2brhv1tplff,pb2brhv1tplff,,Xavier,NY,2334,2334,212.2,8.19,285,76,29,0,11,2012,rushing
64,James,Noble,James Noble,/ca/barstow/barstow-aztecs/athletes/james-noble/football/stats/?careerid=eespnoc8mc2l5,eespnoc8mc2l5,"RB, FS",Barstow,CA,2334,2334,212.2,7.25,322,80,22,3,11,2012,rushing
65,Jeffrey,Wilson,Jeffrey Wilson,/tx/elkhart/elkhart-elks/athletes/jeffrey-wilson/football/stats/?careerid=1c4kf7lsmq888,1c4kf7lsmq888,"RB, DB",Elkhart,TX,2329,2329,232.9,8.38,278,81,26,0,10,2012,rushing
66,Thomas,Tyner,Thomas Tyner,/or/beaverton/aloha-warriors/athletes/thomas-tyner/football/stats/?careerid=o58pfk6libk55,o58pfk6libk55,"RB, FS",Aloha,OR,2325,2325,332.1,12.7,183,93,29,1,7,2012,rushing
67,Corey,Clement,Corey Clement,/nj/glassboro/glassboro-bulldogs/athletes/corey-clement/football/stats/?careerid=jtmmuo55kjri2,jtmmuo55kjri2,"RB, LB",Glassboro,NJ,2323,2323,211.2,12.16,191,0,33,0,11,2012,rushing
68,Isaiah,Sharp,Isaiah Sharp,/ca/wasco/wasco-tigers/athletes/isaiah-sharp/football/stats/?careerid=foavtitlelvk4,foavtitlelvk4,"RB, DB",Wasco,CA,2317,2317,193.1,14.04,165,81,34,2,12,2012,rushing
69,Jacorey,Lewis,Jacorey Lewis,/ga/hoschton/mill-creek-hawks/athletes/jacorey-lewis/football/stats/?careerid=bbs7jsqhugsl5,bbs7jsqhugsl5,RB,Mill Creek,GA,2316,2316,178.2,8.36,277,69,31,2,13,2012,rushing
70,Gerardo,Saldivar,Gerardo Saldivar,/ca/fountain-valley/los-amigos-lobos/athletes/gerardo-saldivar/football/stats/?careerid=bjth4u358dsm6,bjth4u358dsm6,"WR, DB",Los Amigos,CA,2305,2305,192.1,7.76,297,85,25,1,12,2012,rushing
71,Terrell,Newby,Terrell Newby,/ca/west-hills/chaminade-eagles/athletes/terrell-newby/football/stats/?careerid=k6kib1qts82dd,k6kib1qts82dd,RB,Chaminade,CA,2305,2305,164.6,7.66,301,0,45,1,14,2012,rushing
72,Devin,Bisby,Devin Bisby,/tx/portland/gregory-portland-wildcats/athletes/devin-bisby/football/stats/?careerid=j1bk1qksa3qk4,j1bk1qksa3qk4,RB,Gregory-Portland,TX,2302,2302,177.1,7.99,288,81,29,0,13,2012,rushing
73,Alex,Cater,Alex Cater,/nv/las-vegas/silverado-skyhawks/athletes/alex-cater/football/stats/?careerid=4k6jdk8ionktd,4k6jdk8ionktd,"RB, OLB",Silverado,NV,2298,2298,229.8,5.77,398,0,26,0,10,2012,rushing
74,Dalvin,Warmack,Dalvin Warmack,/mo/blue-springs/blue-springs-wildcats/athletes/dalvin-warmack/football/stats/?careerid=npj7dj1lcefrb,npj7dj1lcefrb,TB,Blue Springs,MO,2294,2294,163.9,9.03,254,82,39,3,14,2012,rushing
75,Tanner,Smith,Tanner Smith,/ok/claremore/verdigris-cardinals/athletes/tanner-smith/football/stats/?careerid=56qli7mo2e2p9,56qli7mo2e2p9,"RB, OLB",Verdigris,OK,2282,2282,190.2,7.79,293,54,31,3,12,2012,rushing
76,Justin,Crager,Justin Crager,/oh/sciotoville/east-tartans/athletes/justin-crager/football/stats/?careerid=tuodl3u5oooi2,tuodl3u5oooi2,"QB, LB",East,OH,2268,2268,226.8,8.07,281,97,25,1,10,2012,rushing
77,Tevin,Moore,Tevin Moore,/ms/stringer/stringer-red-devils/athletes/tevin-moore/football/stats/?careerid=ic0ssu6vj1vp9,ic0ssu6vj1vp9,"RB, SB",Stringer,MS,2267,2267,151.1,8.65,262,61,41,0,15,2012,rushing
78,Zach,Katzman,Zach Katzman,/ky/mayfield/graves-county-eagles/athletes/zach-katzman/football/stats/?careerid=n428v9r8ee1bb,n428v9r8ee1bb,"RB, DB",Graves County,KY,2265,2265,188.8,9.02,251,74,30,0,12,2012,rushing
79,Alvin,Kamara,Alvin Kamara,/ga/norcross/norcross-blue-devils/athletes/alvin-kamara/football/stats/?careerid=q4b3fdbeqg3l5,q4b3fdbeqg3l5,RB,Norcross,GA,2264,2264,150.9,7.47,303,80,26,0,15,2012,rushing
80,Kani,Benoit,Kani Benoit,/az/phoenix/thunderbird-titans/athletes/kani-benoit/football/stats/?careerid=4qqejsqvt3622,4qqejsqvt3622,"RB, DB",Thunderbird,AZ,2260,2260,188.3,7.93,285,95,36,9,12,2012,rushing
81,Kamari,Cotton-moya,Kamari Cotton-moya,/ca/bakersfield/ridgeview-wolf-pack/athletes/kamari-cotton-moya/football/stats/?careerid=ie76vbdgchjbb,ie76vbdgchjbb,"QB, DB",Ridgeview,CA,2258,2258,188.2,10.86,208,98,29,9,12,2012,rushing
82,Cody,Styles,Cody Styles,/ca/strathmore/strathmore-spartans/athletes/cody-styles/football/stats/?careerid=9ajmfp0mlvno8,9ajmfp0mlvno8,"WR, C",Strathmore,CA,2251,2251,187.6,9.04,249,96,23,4,12,2012,rushing
83,Blake,Bowman,Blake Bowman,/pa/hegins/tri-valley-bulldogs/athletes/blake-bowman/football/stats/?careerid=t3ppsdagee588,t3ppsdagee588,"RB, LB",Tri-Valley,PA,2251,2251,187.6,8.28,272,0,33,3,12,2012,rushing
84,Arkeel,Newsome,Arkeel Newsome,/ct/ansonia/ansonia-chargers/athletes/arkeel-newsome/football/stats/?careerid=c3neaciemjs77,c3neaciemjs77,"RB, DB",Ansonia,CT,2245,2245,172.7,9.89,227,69,38,2,13,2012,rushing
85,Nathan,Chunn,Nathan Chunn,/ca/escalon/escalon-cougars/athletes/nathan-chunn/football/stats/?careerid=rc2ai0rf053p9,rc2ai0rf053p9,"FB, ILB",Escalon,CA,2240,2240,160.0,6.24,359,68,34,0,14,2012,rushing
86,Trey'vonne,Barr'e,Trey'vonne Barr'e,/ok/jenks/jenks-trojans/athletes/treyvonne-barre/football/stats/?careerid=memjaibk4d8n7,memjaibk4d8n7,,Jenks,OK,2237,2237,159.8,9.77,229,87,30,0,14,2012,rushing
87,Pierre,Cormier,Pierre Cormier,/ca/san-diego/madison-warhawks/athletes/pierre-cormier/football/stats/?careerid=qf6p9h7r4lpk4,qf6p9h7r4lpk4,RB,Madison,CA,2233,2233,159.5,9.88,226,99,29,0,14,2012,rushing
88,Desean,Jackson,Desean Jackson,/nc/hendersonville/hendersonville-bearcats/athletes/desean-jackson/football/stats/?careerid=o04gue6b771vf,o04gue6b771vf,"RB, LB",Hendersonville,NC,2232,2232,159.4,8.96,249,0,30,7,14,2012,rushing
89,Robert,Davis,Robert Davis,/fl/tampa/carrollwood-day-patriots/athletes/robert-davis/football/stats/?careerid=dl7ntkbv5p8ee,dl7ntkbv5p8ee,"FS, RB",Carrollwood Day,FL,2221,2221,201.9,10.94,203,80,26,6,11,2012,rushing
90,Dorian,Williams,Dorian Williams,/oh/streetsboro/streetsboro-rockets/athletes/dorian-williams/football/stats/?careerid=99necv38sqdn7,99necv38sqdn7,"RB, DB",Streetsboro,OH,2221,2221,201.9,8.08,275,83,27,11,11,2012,rushing
91,D'juan,Bellaire,D'juan Bellaire,/ca/antelope/center-cougars/athletes/djuan-bellaire/football/stats/?careerid=d58p6co3p9n55,d58p6co3p9n55,"RB, LB",Center,CA,2214,2214,170.3,7.5,295,75,29,0,13,2012,rushing
92,Austin,Tilghman,Austin Tilghman,/de/middletown/st-andrews-cardinals/athletes/austin-tilghman/football/stats/?careerid=vmmoao7o3sd66,vmmoao7o3sd66,"HB, LB",St. Andrew's,DE,2211,2211,245.7,9.33,237,70,28,7,9,2012,rushing
93,Nick,Brossette,Nick Brossette,/la/baton-rouge/university-lab-cubs/athletes/nick-brossette/football/stats/?careerid=l0tau29fanmaa,l0tau29fanmaa,RB,University Lab,LA,2210,2210,147.3,9.21,240,0,45,0,15,2012,rushing
94,Troy,Dixon,Troy Dixon,/al/mobile/ums-wright-prep-bulldogs/athletes/troy-dixon/football/stats/?careerid=pimkvn3b7c9o8,pimkvn3b7c9o8,RB,UMS-Wright Prep,AL,2196,2196,146.4,7.22,304,74,27,5,15,2012,rushing
95, Rahkeem,Jordan, Rahkeem Jordan,/ct/hartford/prince-rvt-falcons/athletes/rahkeem-jordan/football/stats/?careerid=jt1v1rfq94711,jt1v1rfq94711,"RB, OLB",Prince RVT,CT,2185,2185,198.6,9.93,220,80,23,1,11,2012,rushing
96,Dayton,Winn,Dayton Winn,/ar/pea-ridge/pea-ridge-blackhawks/athletes/dayton-winn/football/stats/?careerid=rlnugf3vodul5,rlnugf3vodul5,"TB, DB",Pea Ridge,AR,2184,2184,182.0,9.06,241,71,21,5,12,2012,rushing
97,Jamal,Johnson,Jamal Johnson,/oh/new-philadelphia/new-philadelphia-quakers/athletes/jamal-johnson/football/stats/?careerid=mjk9ebbtijno8,mjk9ebbtijno8,,New Philadelphia,OH,2177,2177,197.9,7.48,291,80,30,0,11,2012,rushing
98,Trevor ,Bearden,Trevor  Bearden,/ca/morgan-hill/live-oak-acorns/athletes/trevor-bearden/football/stats/?careerid=36ot22pr87off,36ot22pr87off,"RB, LB",Live Oak,CA,2176,2176,217.6,9.1,239,96,20,2,10,2012,rushing
99,Esaias ,Chapman,Esaias  Chapman,/ga/hamilton/harris-county-tigers/athletes/esaias-chapman/football/stats/?careerid=mp5fs1ljoljtd,mp5fs1ljoljtd,RB,Harris County,GA,2164,2164,166.5,7.34,295,65,20,3,13,2012,rushing
100,Alex,Grace,Alex Grace,/mi/saginaw/swan-valley-vikings/athletes/alex-grace/football/stats/?careerid=lheb0tjvpn988,lheb0tjvpn988,"RB, SS",Swan Valley,MI,2163,2163,166.4,7.84,276,80,27,0,13,2012,rushing
101,Darreal,Hamlett,Darreal Hamlett,/nc/yanceyville/bartlett-yancey-buccaneers/athletes/darreal-hamlett/football/stats/?careerid=ui5ubhrbtka99,ui5ubhrbtka99,TB,Bartlett Yancey,NC,2162,2162,196.5,9.4,230,81,2,3,11,2012,rushing
102,Keynan,Huguley,Keynan Huguley,/co/thornton/thornton-trojans/athletes/keynan-huguley/football/stats/?careerid=ohsar7dlp5jn7,ohsar7dlp5jn7,"RB, KR",Thornton,CO,2161,2161,216.1,8.44,256,99,29,2,10,2012,rushing
103,Brad,Burns,Brad Burns,/ny/hoosick-falls/hoosick-falls-panthers/athletes/brad-burns/football/stats/?careerid=b21acr97ia0sc,b21acr97ia0sc,"HB, LB",Hoosick Falls,NY,2150,2150,165.4,9.23,233,67,37,2,13,2012,rushing
104,Prentiss,Miller,Prentiss Miller,/ut/st-george/pine-view-panthers/athletes/prentiss-miller/football/stats/?careerid=l0o07emm7s444,l0o07emm7s444,"RB, DB",Pine View,UT,2150,2150,195.5,7.19,299,24,18,0,11,2012,rushing
105,Ryan,Mosora,Ryan Mosora,/oh/brookfield/brookfield-warriors/athletes/ryan-mosora/football/stats/?careerid=nvu4envj8nfsc,nvu4envj8nfsc,"RB, DB",Brookfield,OH,2149,2149,165.3,9.59,224,74,31,0,13,2012,rushing
